Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0.0,0.0,,0.0
0,0,2,0,3,0,5,0.0005,0.0,-0.00034734282737061494,0.48777148546891524
0,0,4,0,7,0,11,0.0011,0.0,-0.0007644728612134268,0.5072154274250954
0,0,10,0,11,0,21,0.0021,0.0163265306122449,-0.0014604631754642184,0.44440664512105227
3,0,13,0,13,0,29,0.0029,0.011822660098522168,-0.002017952821654721,0.34716349846585287
4,0,18,0,15,0,37,0.0037,0.0268983268983269,0.024532190757909612,0.3149553044280136
4,1,20,0,16,0,41,0.0041,0.02649139478407771,0.021610338152270734,0.2970042221035465
4,1,24,0,20,0,49,0.0049,0.022166269105044614,0.017069255407549402,0.31995489968067536
5,1,26,0,23,0,55,0.0055,0.019748130657221565,0.014429058799919727,0.3235545672849372
5,1,35,0,28,0,69,0.0069,0.015741263567350523,0.009753610041675133,0.32580095944400717
6,1,38,0,34,0,79,0.0079,0.01374869855882514,0.007217499779763399,0.34218081706853515
7,1,41,0,37,0,86,0.0086,0.028133494412564183,0.011544370827931234,0.3399064807456691
10,1,46,0,43,0,100,0.01,0.024194805194805196,0.008117715617715623,0.3313905312604815
13,2,53,0,43,0,111,0.0111,0.031356681356681355,0.014923436978864238,0.2882407754736813
15,2,56,0,46,0,119,0.0119,0.02924866916463555,0.012844876064003087,0.28371936651786117
17,2,60,0,49,0,128,0.0128,0.03266087211399711,0.014673252989536624,0.27809881102205986
18,2,63,2,50,1,136,0.0136,0.03688752015957898,0.012722966359847357,0.27291399674920963
18,2,71,2,53,1,147,0.0147,0.04139966231802966,0.010287486916467276,0.27272502196877896
19,2,74,2,55,1,153,0.0153,0.039776146148695166,0.00905591407616602,0.27109501122682317
19,2,75,2,58,1,157,0.0157,0.043645968327496995,0.011492366421885941,0.2802855388794255
19,2,80,2,62,1,166,0.0166,0.053787226829395504,0.012691767491491883,0.28675911472706844
19,2,83,2,66,1,173,0.0173,0.06429551501805837,0.01805659216992631,0.2951101138273901
19,2,88,2,72,1,184,0.0184,0.07874886285212372,0.024198851263732227,0.3056852831394384
20,2,89,2,73,1,187,0.0187,0.07748551211118056,0.023396615510918498,0.30317843514311854
20,2,96,2,77,1,198,0.0198,0.08323968399725976,0.020601025037019972,0.305167472733981
20,3,96,2,80,1,202,0.0202,0.08353621076393354,0.022150890958936714,0.30889962129485804
20,3,99,2,84,1,209,0.0209,0.08550025200742903,0.022870454879808474,0.31491310313883786
21,3,108,2,88,1,223,0.0223,0.08914384071334744,0.02408989359699963,0.3106636233430846
23,3,112,2,90,1,231,0.0231,0.09038561246353453,0.02215784779833054,0.3044413858957949
23,3,112,2,92,1,233,0.0233,0.08960977029646557,0.021689315464730814,0.30870291537714395
24,3,116,2,94,1,240,0.024,0.09246738215488216,0.024334981167608263,0.3058464413883654
26,3,121,2,96,1,249,0.0249,0.10006896271956513,0.030393711089144935,0.299267960508763
29,3,126,2,98,1,259,0.0259,0.09774969774969774,0.027858604055478367,0.29028292656479177
30,3,137,2,101,1,274,0.0274,0.09435359855067885,0.026160669718105357,0.2844173029109663
30,3,142,2,106,1,284,0.0284,0.09497299453285368,0.023864888110185615,0.2899417254376617
31,3,145,2,107,1,289,0.0289,0.09459860593078585,0.024523004581323702,0.2869194416291522
31,3,149,2,108,1,294,0.0294,0.092989786102031,0.02341129986660764,0.2857254214433584
32,3,150,2,111,1,299,0.0299,0.095257037648342,0.024032131785050943,0.2878780542328845
32,3,155,2,114,1,307,0.0307,0.09747850773909406,0.02729061786166393,0.28943971818453856
35,4,159,2,116,1,317,0.0317,0.09475398418616084,0.025044252816018714,0.28070283800118184
37,4,167,2,121,1,332,0.0332,0.09459548149307186,0.023394402175092185,0.279244418068028
37,5,172,2,125,1,342,0.0342,0.09741989654270355,0.02302932683425949,0.28031463007246327
39,5,173,2,127,1,347,0.0347,0.09785732998989484,0.023478528867322362,0.27861661677817534
39,5,179,2,130,1,356,0.0356,0.09728282017607859,0.024520112248189497,0.2795763259528914
39,5,183,2,133,1,363,0.0363,0.09690996943063059,0.023063910716426893,0.28167694676059735
40,5,188,2,135,1,371,0.0371,0.0977403025246691,0.024223350221211942,0.27969480160481613
40,6,190,3,137,1,377,0.0377,0.0968679787645305,0.022997682797069253,0.2789246766689197
40,6,193,4,141,1,385,0.0385,0.10000665279886058,0.025408461757990868,0.2823246138005193
