Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0.0,0.0,,0.0
0,0,1,0,1,0,2,0.0002,0.0,-0.00013890818169190176,0.4395176973940102
0,0,2,0,2,0,4,0.0004,0.0,-0.0002778549597110306,0.4395176973940102
0,0,3,0,7,0,10,0.001,0.0,-0.0006891359740560575,0.5457807217277306
1,0,3,0,9,0,13,0.0013,0.0,-0.0008978012557633046,0.5116406685468107
1,0,3,0,13,0,17,0.0017,0.0,-0.0011703631602122874,0.5528126380839128
1,0,5,0,14,0,20,0.002,0.01929824561403509,0.023655540101993524,0.5260474849673545
1,0,9,0,17,0,27,0.0027,0.022756410256410255,0.01668637955425683,0.4960135705450795
1,0,10,0,18,0,29,0.0029,0.021130952380952382,0.015269816208728157,0.49239459634328114
2,0,12,0,22,0,36,0.0036,0.016904761904761905,0.011429035551842577,0.47857021563523067
2,0,12,0,23,0,37,0.0037,0.016435185185185185,0.010983865575524698,0.48479372915761604
2,0,15,0,25,0,42,0.0042,0.01443089430894309,0.00902599513130227,0.4733085805203722
2,0,15,0,27,0,44,0.0044,0.01375968992248062,0.008345153963710668,0.48411857206808023
3,0,15,0,29,0,47,0.0047,0.012862318840579711,0.0074043630387400135,0.47829882319686473
3,0,16,0,31,0,50,0.005,0.02490281827016521,0.0065563298490127824,0.48147379537841006
3,0,18,0,33,0,54,0.0054,0.023023360287511233,0.005535805567173193,0.47857021563523067
4,0,18,0,36,0,58,0.0058,0.021407685881370094,0.004617296358096227,0.4781313113324998
4,0,20,0,38,0,62,0.0062,0.020003903200624513,0.0037752149712696687,0.47580618465273616
4,0,21,0,40,0,65,0.0065,0.022049174783549785,0.010920018244747927,0.4783737906132893
4,0,22,0,42,0,68,0.0068,0.021061898300704273,0.010031028878199347,0.48070816104008046
4,0,24,0,45,0,73,0.0073,0.024361171236171236,0.01555736797367937,0.4817343174305842
4,0,25,0,48,0,77,0.0077,0.026420691881218195,0.014209277422291462,0.4865915484434507
4,0,29,0,54,0,87,0.0087,0.02334851840665794,0.011267788868089537,0.4876409634390648
5,0,31,0,57,0,93,0.0093,0.02816636865549909,0.015144853523089315,0.48027527702825035
5,0,32,0,61,0,98,0.0098,0.030838205322741404,0.013695815341938769,0.4864850098486304
6,0,33,0,62,0,101,0.0101,0.029913059163059162,0.012878419109831814,0.4784436910323797
6,0,33,0,64,0,103,0.0103,0.03259450244744362,0.017242397923116475,0.48291879207274
6,0,35,0,67,0,108,0.0108,0.031071394856441586,0.015766396119040967,0.4835096358765381
6,0,36,0,72,0,114,0.0114,0.03163397566052433,0.014124980658281577,0.4906185999501898
6,0,38,0,73,0,117,0.0117,0.03081585560033836,0.013350998228124883,0.48715930234820704
6,0,38,0,79,0,123,0.0123,0.0332035223428666,0.011885054761453257,0.49774927292104304
7,1,40,0,82,0,130,0.013,0.03627750371936418,0.01417713330817745,0.4865327468171152
7,1,42,0,84,0,134,0.0134,0.03545301499846954,0.013199546219554126,0.48523370260969356
7,1,42,0,88,0,138,0.0138,0.037150920974450385,0.015925820920699378,0.49161134229967907
7,1,43,0,91,0,142,0.0142,0.03608946608946609,0.014922353120923146,0.4939222646450145
7,1,45,0,91,0,144,0.0144,0.035581163750177836,0.014438365132809572,0.4896082842237727
7,1,48,0,96,0,152,0.0152,0.03368350168350168,0.01259210280051618,0.4906185999501898
7,1,49,0,97,0,154,0.0154,0.0387227538543328,0.01543305540918907,0.4900054361353516
7,1,50,0,101,0,159,0.0159,0.04447569415722282,0.017447077907309008,0.49346844069680423
8,1,50,0,104,0,163,0.0163,0.0476620687800812,0.019571149685868473,0.4929248005942168
8,1,52,0,105,0,166,0.0166,0.048423476929574494,0.018803681777834952,0.49046452517417355
8,1,55,0,107,0,171,0.0171,0.054739491277952815,0.02052085375431691,0.4875504765465995
8,1,55,0,109,0,173,0.0173,0.0565359104832789,0.022932121926706444,0.49007283782106503
8,1,56,0,112,0,177,0.0177,0.05857699443413729,0.02472967911050416,0.49197270014221495
8,1,58,0,114,0,181,0.0181,0.0591302087112143,0.02643102496763013,0.490901651533703
8,1,60,0,117,0,186,0.0186,0.06341756070016939,0.03048202514255973,0.49103195509653225
8,1,63,0,121,0,193,0.0193,0.06412460430785039,0.028429027360445162,0.49066031234970753
8,1,63,0,127,0,199,0.0199,0.07092791585177372,0.03184679117013134,0.49709340511284256
8,1,63,0,130,0,202,0.0202,0.07153066378066378,0.03095512220612116,0.5001367676448386
8,1,64,0,132,0,205,0.0205,0.07047356037503821,0.030094760264263443,0.5005763285319582
8,1,64,0,135,0,208,0.0208,0.07317470824752378,0.03655860650998756,0.5034619461655271
8,1,67,0,137,0,213,0.0213,0.07144071042175307,0.03501626993700178,0.5008846677162139
8,1,68,0,140,0,217,0.0217,0.07197204604181348,0.036160938004467166,0.5022114736497726
8,1,68,0,142,0,219,0.0219,0.07130870921193502,0.03555492122555132,0.5040212468978776
8,1,71,0,142,0,222,0.0222,0.07033631772268135,0.03465558237035172,0.4997577906738016
8,1,72,0,146,1,228,0.0228,0.07626150889425225,0.03737849775440577,0.502809891448243
8,1,73,0,149,1,232,0.0232,0.07710913482652612,0.03837488723170882,0.5040146787195988
8,1,74,0,155,1,239,0.0239,0.08204483046255198,0.04054956956939804,0.5076126592843574
8,1,76,0,159,1,245,0.0245,0.0820766453482503,0.03874150861333582,0.508159723968601
8,1,79,0,165,1,254,0.0254,0.0845072035548226,0.03815218347247101,0.508931479117359
8,1,80,0,166,1,256,0.0256,0.08384179250320982,0.03757777149321267,0.5084370378103675
8,1,83,0,171,1,264,0.0264,0.085034918431865,0.037274270720790266,0.5084500029528313
8,1,85,0,172,1,267,0.0267,0.08693838656102808,0.03835506243389776,0.5067918232805896
8,1,88,0,177,1,275,0.0275,0.08892298178012464,0.03985143470099223,0.5068515514294937
8,1,90,0,181,1,281,0.0281,0.09626138497106239,0.047250232874825986,0.5073464413414848
8,1,92,0,184,1,286,0.0286,0.0989680507286141,0.04573840617839485,0.5071505821773977
8,1,94,0,185,1,289,0.0289,0.10095328597070757,0.046621746824097,0.5056258243095167
8,1,94,0,187,1,291,0.0291,0.10025464731347083,0.04602543427838094,0.5069612743722324
8,1,99,0,189,1,298,0.0298,0.10234134296634297,0.04798349957183156,0.502930499816752
8,1,102,0,192,1,304,0.0304,0.10843379394703898,0.05014020401457672,0.5017777173760658
8,1,104,0,195,1,309,0.0309,0.11044859953654741,0.05030816796692971,0.501683417638252
8,1,106,0,197,1,313,0.0313,0.10902803877080404,0.04911546178158202,0.5009506972309636
8,1,106,0,201,1,317,0.0317,0.10989601227696465,0.04955225266937421,0.5034867118217264
8,1,106,0,203,1,319,0.0319,0.11246375426186152,0.05217135639396991,0.5047258329473218
8,1,107,0,205,1,322,0.0322,0.11430375180375181,0.054448933875359304,0.5049628879670102
8,1,107,0,211,1,328,0.0328,0.1173928150922016,0.05601693612871322,0.5085312347858962
8,1,108,0,213,1,331,0.0331,0.12286937986026132,0.058710318308191456,0.5087260308388948
9,1,110,0,215,1,336,0.0336,0.12458006065790496,0.06071310065550678,0.5058103849773543
9,1,111,0,216,1,338,0.0338,0.12507859204287777,0.06159391474835168,0.5054505901721549
9,1,112,0,217,1,340,0.034,0.12433848203078973,0.06095689342593365,0.5050946797624714
9,1,113,0,217,1,341,0.0341,0.12397170184780805,0.060640529921486414,0.5041673902644052
9,1,116,0,219,1,346,0.0346,0.12311455501862478,0.059079683839898554,0.5025653229021955
9,1,118,0,223,1,352,0.0352,0.1259121830550402,0.06162529336646646,0.5030373774598459
9,1,119,0,226,1,356,0.0356,0.12594111005127953,0.060384324493272634,0.5038238334278433
9,1,122,0,230,1,363,0.0363,0.12890070071510515,0.062489807044781874,0.5033900237007494
9,1,123,0,235,1,369,0.0369,0.12888558610629455,0.062036993579257994,0.5052156435226146
9,1,124,0,236,1,371,0.0371,0.12959042613514157,0.06281051309644373,0.5048901907719596
9,1,125,0,240,1,376,0.0376,0.1311778981565078,0.06265487634167162,0.5061330567617954
9,1,128,0,241,1,380,0.038,0.13322892568924316,0.06414270340616166,0.5041404796141212
9,1,131,0,242,1,384,0.0384,0.13314275892809924,0.06426286624809742,0.5021800859389683
9,1,134,0,244,1,389,0.0389,0.13211470556431798,0.06407170470845007,0.5007721901075368
9,1,134,0,247,1,392,0.0392,0.13268574018574017,0.06448562434682613,0.502316056032551
9,1,136,0,250,1,397,0.0397,0.13509900085849452,0.06579905241607996,0.5022359192885678
9,1,138,0,253,1,402,0.0402,0.1352049062049062,0.06685336711214607,0.5021577390421362
9,1,139,0,255,1,405,0.0405,0.1373001550420905,0.06594550963968616,0.5023664685306231
9,1,141,0,257,1,409,0.0409,0.13828492010310192,0.06600881565672939,0.5017989940240901
10,1,141,0,260,1,413,0.0413,0.1390072079853102,0.06481935578021165,0.5014975607492484
10,1,141,0,265,1,418,0.0418,0.14174349955599957,0.06458833948501116,0.503894857015899
10,1,141,0,269,1,422,0.0422,0.14295308527451384,0.06342515896679887,0.505763164591571
10,1,143,0,271,1,426,0.0426,0.1462409642244548,0.06589467629689208,0.5051914707274164
10,1,145,0,272,1,429,0.0429,0.15138056712998163,0.06903039579655429,0.5041712551661081
10,1,145,0,276,1,433,0.0433,0.15072970339791686,0.06784243107295747,0.5059890925114338
10,1,147,0,278,1,437,0.0437,0.151673549949412,0.06903060463872783,0.5054298734738807
11,1,147,0,285,1,445,0.0445,0.1522076619142082,0.06784622052960494,0.5068693269516037
11,1,149,0,290,1,452,0.0452,0.15370242103575435,0.06925359299141438,0.5076045472252052
11,1,152,0,291,1,456,0.0456,0.15234821468301643,0.0680947474106954,0.5059375111090079
11,1,154,0,292,1,459,0.0459,0.1513481169936312,0.06723537991338849,0.504981072767174
12,1,154,0,294,1,462,0.0462,0.15166799987452162,0.06750232476663817,0.5042592233676251
12,1,154,0,297,1,465,0.0465,0.1541855612589954,0.06776334826440734,0.5055272696332868
12,1,155,0,297,1,466,0.0466,0.15424837973329353,0.06747944478907617,0.504848217456143
12,1,155,0,300,1,469,0.0469,0.1538820446743359,0.06663304323976267,0.5061002056820351
12,1,155,0,306,1,475,0.0475,0.15749735348044014,0.06822923556647453,0.5085469480279524
12,1,157,0,309,1,480,0.048,0.15702044352671965,0.06898347701149428,0.5084180093659246
12,1,160,0,312,1,486,0.0486,0.1612771755333739,0.07156328025596392,0.5076387345032959
12,1,162,0,315,1,491,0.0491,0.16356472997577293,0.07119915616769401,0.5075215345777608
12,1,162,0,319,1,495,0.0495,0.16643931344742702,0.07357011321412614,0.5090727881354079
12,1,165,0,324,1,503,0.0503,0.16906086816266458,0.07645006886554795,0.5090696251878968
12,1,170,0,327,1,511,0.0511,0.1724940961679665,0.07618298740498529,0.5070751131583172
12,1,171,0,331,1,516,0.0516,0.1744902471069786,0.07676548656755083,0.5079563497429871
13,1,173,0,335,1,523,0.0523,0.17604859951309088,0.07675863464555872,0.5068229163749925
