beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,758.0,1679.0,955.0,475.0,276.0,2.0,4145.0
0.84375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.15625,0.65625,0.28125,0.96875,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.46875,0.09375,0.28125,0.96875,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.46875,0.65625,0.40625,0.96875,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.46875,0.65625,0.28125,0.65625,0.53125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.46875,0.65625,0.28125,0.96875,0.65625,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.09375,0.46875,0.15625,0.09375,0.40625,0.65625,0.65625,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.84375,0.46875,0.15625,0.09375,0.40625,0.65625,0.65625,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.84375,0.46875,0.46875,0.09375,0.40625,0.65625,0.65625,784.0,2987.0,1971.0,1465.0,1739.0,397.0,9343.0
0.84375,0.46875,0.15625,0.65625,0.40625,0.65625,0.65625,753.0,975.0,1654.0,628.0,1709.0,156.0,5875.0
0.84375,0.46875,0.15625,0.09375,0.28125,0.65625,0.65625,752.0,1875.0,1943.0,919.0,1659.0,242.0,7390.0
0.84375,0.46875,0.15625,0.09375,0.40625,0.96875,0.65625,783.0,3102.0,1976.0,1155.0,1725.0,320.0,9061.0
0.84375,0.46875,0.15625,0.09375,0.40625,0.65625,0.53125,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.84375,0.46875,0.15625,0.09375,0.40625,0.65625,0.65625,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.34375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.03125,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.59375,0.96875,0.65625,0.15625,0.78125,0.46875,0.03125,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
0.59375,0.96875,0.96875,0.59375,0.78125,0.46875,0.03125,784.0,2987.0,1971.0,1465.0,1739.0,397.0,9343.0
0.59375,0.96875,0.96875,0.15625,0.90625,0.46875,0.03125,784.0,2987.0,1971.0,1465.0,1739.0,397.0,9343.0
0.59375,0.96875,0.96875,0.15625,0.78125,0.15625,0.03125,753.0,975.0,1654.0,628.0,1709.0,156.0,5875.0
0.59375,0.96875,0.96875,0.15625,0.78125,0.46875,0.15625,753.0,975.0,1654.0,628.0,1709.0,156.0,5875.0
0.59375,0.96875,0.65625,0.59375,0.90625,0.15625,0.15625,752.0,1875.0,1943.0,919.0,1659.0,242.0,7390.0
0.34375,0.96875,0.65625,0.59375,0.90625,0.15625,0.15625,752.0,1875.0,1943.0,919.0,1659.0,242.0,7390.0
0.34375,0.96875,0.96875,0.59375,0.90625,0.15625,0.15625,783.0,3102.0,1976.0,1155.0,1725.0,320.0,9061.0
0.34375,0.96875,0.65625,0.15625,0.90625,0.15625,0.15625,783.0,3102.0,1976.0,1155.0,1725.0,320.0,9061.0
0.34375,0.96875,0.65625,0.59375,0.78125,0.15625,0.15625,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.34375,0.96875,0.65625,0.59375,0.90625,0.46875,0.15625,793.0,2821.0,1957.0,1346.0,1670.0,387.0,8974.0
0.34375,0.96875,0.65625,0.59375,0.90625,0.15625,0.03125,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
0.34375,0.96875,0.65625,0.59375,0.90625,0.15625,0.15625,748.0,2328.0,1922.0,1158.0,1701.0,319.0,8176.0
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,0.78125,331.0,16.0,1268.0,79.0,1464.0,57.0,3215.0
0.09375,0.21875,0.21875,0.90625,0.53125,0.21875,0.78125,838.0,2875.0,1768.0,1026.0,1686.0,282.0,8475.0
0.84375,0.71875,0.21875,0.90625,0.53125,0.21875,0.78125,492.0,225.0,1620.0,423.0,1644.0,149.0,4553.0
0.84375,0.21875,0.90625,0.90625,0.53125,0.21875,0.78125,444.0,91.0,1601.0,324.0,1665.0,177.0,4302.0
0.84375,0.21875,0.21875,0.84375,0.53125,0.21875,0.78125,327.0,21.0,1319.0,83.0,1574.0,66.0,3390.0
0.84375,0.21875,0.21875,0.90625,0.65625,0.21875,0.78125,439.0,36.0,1521.0,195.0,1573.0,93.0,3857.0
0.84375,0.21875,0.21875,0.90625,0.53125,0.90625,0.78125,783.0,1037.0,1548.0,606.0,1486.0,67.0,5527.0
0.84375,0.21875,0.21875,0.90625,0.53125,0.21875,0.90625,311.0,4.0,1280.0,39.0,1478.0,39.0,3151.0
0.84375,0.71875,0.90625,0.84375,0.65625,0.90625,0.90625,819.0,3001.0,1934.0,1471.0,1755.0,375.0,9355.0
0.09375,0.21875,0.90625,0.84375,0.65625,0.90625,0.90625,808.0,2340.0,1903.0,1111.0,1720.0,316.0,8198.0
