Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0.0,0.0,,0.0
2,0,6,0,2,0,10,0.001,0.0,-0.0006949270326615706,0.22942039280656493
4,0,10,0,7,0,21,0.0021,0.0,-0.0014546676866726935,0.21783490776972755
5,0,11,0,10,0,26,0.0026,0.0,-0.001803023978479663,0.2572432360778573
7,0,14,1,13,0,35,0.0035,0.005714285714285714,-0.0023666991507726586,0.24318527469471865
9,0,14,1,18,0,42,0.0042,0.004761904761904762,-0.0028611556050792773,0.27901845729484354
10,0,15,1,18,0,44,0.0044,0.004545454545454546,-0.0030008590466903476,0.2581806011751822
11,0,18,2,22,0,53,0.0053,0.016981132075471698,-0.0036300065049716564,0.2724662347727123
14,0,25,2,24,0,65,0.0065,0.013846153846153847,-0.004470098586309522,0.23361143312774754
14,2,32,2,26,0,76,0.0076,0.01513157894736842,-0.005235602094240836,0.21449572284459073
15,2,36,2,29,0,84,0.0084,0.018452380952380953,0.00026753658483904245,0.22125562759509387
16,2,38,3,30,0,89,0.0089,0.023033707865168538,-0.00042610989718312194,0.21472986616160616
17,2,42,3,33,0,97,0.0097,0.0211340206185567,-0.00145646905294556,0.22058286544658845
18,2,46,3,36,0,105,0.0105,0.028095238095238097,0.007264897478943369,0.22552559621022095
18,2,48,3,42,0,113,0.0113,0.031008568619188086,0.010170039460353018,0.25512347243301914
19,2,52,3,45,0,121,0.0121,0.030335825790371244,0.008420868347338944,0.2570461618037312
20,2,58,4,46,0,130,0.013,0.03165445665445665,0.006633906567175044,0.2452486151485438
20,2,60,4,46,0,132,0.0132,0.03117484367484367,0.006255798928512263,0.2423562151669795
21,2,62,4,49,1,139,0.0139,0.03931140801644399,0.01230847554767,0.25176824898080835
21,2,65,4,53,1,146,0.0146,0.04359099804305284,0.014240818910081977,0.2636625754826685
22,2,70,4,54,2,154,0.0154,0.059786641929499076,0.022320832593583514,0.25974716737590214
22,2,75,4,56,2,161,0.0161,0.05718722271517303,0.02039442883895131,0.26061377867463076
23,3,79,4,57,2,168,0.0168,0.05852015048443619,0.021616536476684798,0.250641367225676
24,3,84,4,60,2,177,0.0177,0.05680004239326273,0.0221685712581382,0.2510785920843775
24,3,92,4,60,2,185,0.0185,0.05434382434382434,0.020111040428013333,0.24255507411136015
26,3,100,4,62,2,197,0.0197,0.05272558800477582,0.019845420567551137,0.23367273984135886
26,4,105,4,64,2,205,0.0205,0.05355999014535599,0.02046005779037453,0.2317679106874261
27,4,109,4,67,2,213,0.0213,0.05154834732299521,0.018599405467992262,0.23380015851159422
