,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0,0.0,0.0,,0.0
1,2,0,6,0,1,0,9,0.0009,0.0,-0.0006253908692933081,0.28408399391582595
2,2,0,9,0,7,0,18,0.0018,0.0,-0.001251564455569461,0.3014796306033987
3,6,0,13,0,10,0,29,0.0029,0.012643678160919542,0.015258218778718642,0.21858138395487967
4,7,0,13,0,11,0,31,0.0031,0.011827956989247313,0.01400640716237241,0.21684564514844892
5,7,0,16,0,16,0,39,0.0039,0.009401709401709403,0.010139641014928254,0.2828628889368557
6,7,0,18,0,16,0,41,0.0041,0.00894308943089431,0.00937459127359573,0.272400587914783
7,8,0,24,0,19,0,51,0.0051,0.007189542483660131,0.006284512550577415,0.26605642629740717
8,11,0,24,0,20,0,55,0.0055,0.006666666666666667,0.00529167590861561,0.23709978937219103
9,14,0,29,0,21,0,64,0.0064,0.022960069444444446,0.019077845982142853,0.19875356308568026
10,14,0,31,0,24,0,69,0.0069,0.0212962962962963,0.017023246453669403,0.22306509753714923
11,18,0,36,0,27,0,81,0.0081,0.03144718792866941,0.01916257342613931,0.20123331212083903
12,18,0,39,0,28,0,85,0.0085,0.029967320261437908,0.01771965509920349,0.20347981087291775
13,18,0,42,0,30,0,90,0.009,0.03200617283950617,0.01606102958304217,0.2128545620567738
14,19,0,48,0,34,0,101,0.0101,0.02852035203520352,0.012866763283084028,0.2217407598166088
15,19,0,51,0,36,0,106,0.0106,0.035036687631027255,0.011580484576807092,0.2287733703505892
16,19,0,55,0,43,0,117,0.0117,0.04527540360873694,0.024116441098167633,0.2593826229201743
17,19,0,58,0,43,0,120,0.012,0.04414351851851852,0.02310340802987862,0.2543666126243512
18,20,0,62,0,45,0,127,0.0127,0.054177602799650046,0.024858574262327057,0.2516908474857306
19,20,0,66,0,48,0,134,0.0134,0.05134742951907131,0.022615525345374622,0.258942691656447
20,21,0,73,0,48,0,142,0.0142,0.054792644757433485,0.023818684774283717,0.24384050649808367
21,21,0,74,1,53,0,149,0.0149,0.054567486950037276,0.025142040348202725,0.2612876791415412
22,22,0,79,1,56,0,158,0.0158,0.05145921237693389,0.022490826147420383,0.2611778424413685
23,22,0,86,1,59,0,168,0.0168,0.05581065759637188,0.02281411440349045,0.26294901415363797
24,24,0,93,1,61,0,179,0.0179,0.0682096302208034,0.023245941919502414,0.253207261831371
25,25,0,97,1,63,0,186,0.0186,0.06730670762928827,0.021410059142054398,0.2514041829512819
26,26,0,100,1,65,0,192,0.0192,0.06672247023809523,0.019918355855855854,0.25074644343614655
27,28,0,107,1,67,0,203,0.0203,0.07214989444053482,0.022342540278578266,0.242695071906298
28,28,0,110,1,69,0,208,0.0208,0.07498282967032967,0.021116988986211074,0.24577108817810656
29,28,0,113,1,71,0,213,0.0213,0.07467583277442431,0.022314616535471378,0.24869648034505096
30,30,0,118,1,74,0,223,0.0223,0.07431667734358316,0.022233189339182093,0.24590194280147282
31,33,0,123,1,77,0,234,0.0234,0.07082315832315832,0.019688256822945508,0.24028234728887746
32,36,0,129,1,77,0,243,0.0243,0.06820007838526357,0.017729308975100215,0.22668883281879473
33,37,0,133,1,82,0,253,0.0253,0.0702945605119518,0.017660997508468636,0.23356401492740111
34,37,1,133,1,90,0,262,0.0262,0.07287804434751,0.015819978064278782,0.24965529814394186
35,37,1,136,1,94,0,269,0.0269,0.07246857850947071,0.016332525614236124,0.25625744247655025
36,38,1,137,1,100,0,277,0.0277,0.07037562317345711,0.01475950973282437,0.2654522199363056
37,40,1,139,1,105,0,286,0.0286,0.07134532134532134,0.014839041266701745,0.26882550903778607
38,41,1,143,1,109,0,295,0.0295,0.07033091202582728,0.013145456693843802,0.27112533650162574
39,41,1,146,1,112,0,301,0.0301,0.07521752887201391,0.014014388994389225,0.27454827303478674
40,43,1,151,1,116,0,312,0.0312,0.07256562881562881,0.011991474832190341,0.2735618846074617
41,43,1,159,1,118,0,322,0.0322,0.07233806566104702,0.01181740477558188,0.2717470059701054
42,45,1,163,1,120,0,330,0.033,0.07437229437229437,0.010414378324826083,0.2681838232293023
43,46,2,167,1,123,0,339,0.0339,0.08366237171546906,0.010564443124096528,0.2664396151127364
44,48,2,172,1,131,0,354,0.0354,0.08936876839419212,0.00973055316184241,0.27213199572999053
45,48,2,176,2,136,0,364,0.0364,0.09053733964448249,0.009645550343883758,0.2768151115628599
46,49,2,178,2,137,0,368,0.0368,0.08955323812660768,0.008976054250761811,0.2751752938184433
47,52,2,179,2,142,0,377,0.0377,0.08962579566027841,0.007492572786690437,0.27611178749582316
48,52,2,187,3,144,0,388,0.0388,0.09196642418291902,0.00839947740391856,0.27400533218237316
49,53,2,189,3,151,0,398,0.0398,0.09508164922737787,0.009373945106592925,0.2807353793652056
50,54,2,194,3,152,0,405,0.0405,0.09586624623661662,0.008230154837031428,0.27762106911033485
