,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0,0.0,0.0,,0.0
1,0,0,2,0,2,0,4,0.0004,0.0,-0.0002778549597110307,0.4301783264746228
2,0,0,2,0,4,0,6,0.0006,0.0,-0.00041684035014589386,0.5229281307320327
3,0,0,4,0,8,0,12,0.0012,0.0,-0.0008340283569641369,0.5229281307320327
4,0,0,5,0,8,0,13,0.0013,0.0,-0.0009035935219295193,0.4961829041572723
5,1,0,6,0,10,0,17,0.0017,0.034313725490196074,0.02826457705379309,0.45500130598332805
6,1,0,7,0,11,0,19,0.0019,0.030701754385964907,0.025029369892292083,0.4525028556964095
7,1,0,8,0,15,0,24,0.0024,0.024305555555555552,0.01919866444073455,0.48297831530275737
8,1,0,11,0,19,0,31,0.0031,0.018817204301075266,0.013994808118133655,0.48056424228885647
9,1,0,12,0,21,0,34,0.0034,0.030392156862745094,0.027103072887236478,0.48440198734215123
10,1,0,14,0,25,0,40,0.004,0.02583333333333333,0.022272516248839358,0.4903114738506614
11,1,0,16,0,27,0,44,0.0044,0.023484848484848483,0.019720399875039055,0.4851833333452551
12,1,0,16,0,28,0,45,0.0045,0.02296296296296296,0.01914547776616742,0.4900429802418979
13,1,0,16,0,32,0,49,0.0049,0.02704081632653061,0.02729075742902554,0.5071307872015144
14,1,0,17,0,33,0,51,0.0051,0.025980392156862743,0.02595623934987613,0.5043505681635311
15,1,0,19,0,35,0,55,0.0055,0.02409090909090909,0.023531586340927575,0.49935219623804317
16,1,0,20,0,38,0,59,0.0059,0.028268765133171916,0.029912065166562477,0.5039426078491487
17,1,0,20,0,38,0,59,0.0059,0.028268765133171916,0.029912065166562477,0.5039426078491487
18,1,0,23,0,40,0,64,0.0064,0.026060267857142858,0.026913597470238085,0.49443628502356446
19,2,0,23,0,45,0,70,0.007,0.03731859410430839,0.03817582161964578,0.4982436762298814
20,2,0,23,0,49,0,74,0.0074,0.0353013728013728,0.03557869959866329,0.5089811340716807
21,3,0,24,0,53,0,80,0.008,0.039945436507936506,0.03211708566108009,0.5046393545850053
22,3,0,25,0,57,0,85,0.0085,0.04387021475256769,0.029560039174594026,0.5097599854121574
23,3,0,25,0,60,0,88,0.0088,0.050234487734487736,0.033862768263970056,0.5160037222765474
24,3,0,28,0,61,0,92,0.0092,0.048050379572118704,0.03184647891318528,0.5070294990805403
25,3,0,32,0,63,0,98,0.0098,0.04510851959831552,0.02909516484540958,0.4973543635456649
26,3,0,35,0,65,0,103,0.0103,0.04291878563723224,0.027032737988122082,0.49174673134258323
27,3,0,38,0,66,0,107,0.0107,0.041314345052662814,0.025480634160067465,0.48456236012667553
28,3,0,38,0,70,0,111,0.0111,0.03982553982553983,0.02401992586750094,0.49243395487904085
