Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0.0,0.0,,0.0
0,0,3,0,3,0,6,0.0006,0.0,-0.0004284192487610576,0.4300685871056242
1,0,6,0,7,0,14,0.0014,0.0,-0.0009847536957226925,0.39635124805912286
1,0,7,0,10,0,18,0.0018,0.0,-0.0012573587354563563,0.4375238761172331
1,0,9,0,12,0,22,0.0022,0.0,-0.0015359113460379297,0.43620314779241803
1,0,13,0,19,0,33,0.0033,0.007154882154882154,0.01288358633315826,0.4606722615764225
1,0,17,0,21,0,39,0.0039,0.006054131054131054,0.010133838262102318,0.4411992532795936
3,1,22,0,24,0,50,0.005,0.007579365079365079,0.00654471544715448,0.3795063589780024
4,1,25,0,25,0,55,0.0055,0.00689033189033189,0.005285866683566231,0.35748594873431133
5,1,31,0,29,0,66,0.0066,0.018368205868205867,0.010611028662514652,0.34723576321251864
7,1,33,0,31,0,72,0.0072,0.01683752204585538,0.008921924436999807,0.33123048776722347
9,1,34,0,33,0,77,0.0077,0.015744176458462173,0.007669225745047853,0.32060700560962446
9,1,38,0,36,0,84,0.0084,0.014432161753590324,0.0060837690762250715,0.325938295892779
12,1,41,0,37,0,91,0.0091,0.013321995464852607,0.004675967915886842,0.2984568709023974
13,1,46,0,38,0,98,0.0098,0.01662212504049239,0.008535507616555228,0.2846125864484373
13,1,51,0,41,0,106,0.0106,0.015367625037436359,0.006816863829042057,0.2893460126779129
14,1,57,0,44,0,116,0.0116,0.023176655719759166,0.009231251428332322,0.28518008999010486
14,1,61,0,47,0,123,0.0123,0.021857659052781003,0.007761645172661003,0.2910012024309214
15,1,66,0,48,0,130,0.013,0.024615662115662115,0.014159614036979134,0.2807879018618717
15,2,75,0,50,0,142,0.0142,0.023175670182712434,0.011360313656380712,0.269466340083565
17,2,76,0,51,0,146,0.0146,0.022540720314692918,0.010492288313846685,0.26191671796491417
19,2,82,0,51,0,154,0.0154,0.02738399767620547,0.008851804987562401,0.2444086607484716
23,2,86,0,53,0,164,0.0164,0.025714241720339284,0.006954057844877397,0.22954488530836148
25,2,89,0,53,0,169,0.0169,0.024953465338080724,0.006057524777491485,0.2178711044944873
25,2,93,0,58,0,178,0.0178,0.029914108987142696,0.010208046614492384,0.23210193146742789
27,2,102,0,61,0,192,0.0192,0.031391106000481,0.012839010885885882,0.2258416748805936
27,2,107,0,61,0,197,0.0197,0.03200441690289406,0.011827236041860029,0.22126695223071882
29,2,109,0,64,0,204,0.0204,0.0333766587443058,0.010456549483698804,0.22209862590875598
29,2,114,0,66,0,211,0.0211,0.03463904447316769,0.011548061895621032,0.2240075105180622
31,2,120,0,69,0,222,0.0222,0.03508351008351008,0.011774523147777471,0.22146134369814785
32,2,124,0,72,0,230,0.023,0.03478108847674065,0.010261268448344624,0.22372970809294804
36,2,128,0,75,0,241,0.0241,0.03990173035816189,0.008287277166447029,0.21699516180955877
36,2,133,0,80,0,251,0.0251,0.04646037893049845,0.01265900189380767,0.22648406776381144
36,2,136,0,83,0,257,0.0257,0.05212945290766303,0.01747249444780856,0.23178229756653698
37,2,139,1,90,0,269,0.0269,0.05276025090151484,0.016940309900710434,0.24261119172030834
37,2,141,2,93,0,275,0.0275,0.053303333030605755,0.01759077500670421,0.2471258917273209
37,2,145,2,94,0,280,0.028,0.055327678274106847,0.016580669094833394,0.24649278345556422
38,2,146,2,97,0,285,0.0285,0.056644807434281116,0.017376997222066846,0.24960326592709384
41,2,153,3,99,0,298,0.0298,0.05501265140526885,0.014829992223483928,0.24109092546592356
41,2,156,3,104,0,306,0.0306,0.05504500038813765,0.01500499447685985,0.2491338822920306
44,2,161,3,105,0,315,0.0315,0.06040350302255063,0.014948357759859357,0.2410750141087273
46,2,162,3,110,0,323,0.0323,0.06452516600032128,0.015053007515131474,0.24546918246955318
48,2,166,3,114,0,333,0.0333,0.0706016289600627,0.015266065809891774,0.24607722484281233
51,3,169,3,117,0,343,0.0343,0.07227344617695494,0.017909382271389454,0.24131176061094037
51,3,175,3,119,0,351,0.0351,0.07241513248656106,0.017845355662993917,0.24153147119168614
52,3,179,3,122,0,359,0.0359,0.07603767275554986,0.01918754050761409,0.2425025063398906
54,4,183,3,124,0,368,0.0368,0.0790159885527733,0.021640236395485277,0.23791847035741753
55,4,188,3,128,0,378,0.0378,0.08483342475384915,0.02239196681858214,0.24004160729331211
55,4,195,3,132,0,389,0.0389,0.08547818161220222,0.024184847540220704,0.2429029316200165
57,4,199,3,135,0,398,0.0398,0.0856814470164596,0.024965863933771593,0.24196426860756404
57,4,205,3,138,0,407,0.0407,0.08819507668029834,0.025691519563455528,0.2436269504993538
57,4,210,3,141,0,415,0.0415,0.09133132701973283,0.026558647891530392,0.2456804316728943
58,4,214,3,142,0,421,0.0421,0.09376242144099287,0.025333017057539705,0.24357913670697698
61,4,219,3,143,0,430,0.043,0.09292026285033278,0.025928762075987846,0.23777224997671528
62,4,226,3,145,0,440,0.044,0.09163885974819916,0.023940696361899824,0.2359668761824422
65,4,233,4,149,0,455,0.0455,0.09528033762615261,0.025796901116178557,0.23343549801455868
65,4,238,4,152,0,463,0.0463,0.10027342186433094,0.02869883261618089,0.2354711313757698
66,4,245,4,153,0,472,0.0472,0.10227001707893428,0.03127812736689053,0.23251425801927494
66,4,251,4,154,0,479,0.0479,0.10589786201710888,0.03217520226758485,0.23151244370446036
67,4,253,4,157,0,485,0.0485,0.10933140550909146,0.0341396569103721,0.2331644513537022
67,4,256,4,160,0,491,0.0491,0.10891102095183729,0.03393474571712224,0.23584161148310065
69,4,262,4,163,0,502,0.0502,0.10860606459408854,0.031649809238275727,0.23447513826406471
69,4,269,4,165,1,512,0.0512,0.11233756458805383,0.03266971515891276,0.23557990709289664
69,4,275,4,169,1,522,0.0522,0.11268114483085692,0.03063797162543263,0.23818377452331166
70,4,278,4,173,1,530,0.053,0.11487339062953429,0.0339349293610397,0.24041152364218865
73,4,281,4,177,1,540,0.054,0.11575626496776775,0.03479011086171981,0.2399168565000651
74,4,285,4,182,1,550,0.055,0.11723277734206695,0.0355899418203022,0.24279551596720683
74,4,287,4,186,1,556,0.0556,0.11724381724381726,0.03623189820372917,0.24645852910563773
75,4,291,4,189,1,564,0.0564,0.11896952465336125,0.037361622096529205,0.24700618097778237
75,4,301,4,194,1,579,0.0579,0.12274894463475777,0.038794112723693895,0.24882657639525765
76,4,305,4,196,1,586,0.0586,0.12190693447103704,0.03823231901407795,0.24830397156395131
78,4,312,4,198,1,597,0.0597,0.12369380712501517,0.03803075268524445,0.24561263469418768
80,4,317,4,203,1,609,0.0609,0.12613770093210883,0.04003115205356779,0.24661427034431727
81,4,320,4,204,1,614,0.0614,0.1263090317331753,0.03984835033656825,0.24547775301978936
83,4,324,5,209,1,626,0.0626,0.12872199356199354,0.04073030852994555,0.2464546040602197
83,4,328,5,213,1,634,0.0634,0.12815713775429416,0.040736020644187625,0.24901313474813133
85,4,332,5,215,1,642,0.0642,0.13083484378336172,0.041544045656004606,0.24741719799254946
85,4,335,6,219,1,650,0.065,0.13256239138365486,0.041512543309639105,0.24989819935473578
85,4,340,6,220,1,656,0.0656,0.13453055850002416,0.04268612134692513,0.24931018186299422
87,4,345,6,222,1,665,0.0665,0.1378670275507625,0.045563588073903045,0.24747069968850774
89,4,353,7,229,1,683,0.0683,0.14442590644936687,0.04666296642736601,0.24894170170120988
90,4,355,7,235,1,692,0.0692,0.1473744859417797,0.049346451865241704,0.2524946072955821
91,4,358,7,239,1,700,0.07,0.14938644251948974,0.05066536344571175,0.25398567016146245
92,4,363,7,243,1,710,0.071,0.1513154687343686,0.05299189101310345,0.2548779050380718
93,4,368,7,248,1,721,0.0721,0.1519193191068191,0.052090895409837995,0.25655244799806454
96,5,372,8,251,1,733,0.0733,0.1522782734872899,0.051700692254437075,0.25364101242158005
97,6,374,8,252,1,738,0.0738,0.15287340053283066,0.051599410701557887,0.2519534110561916
98,6,377,8,256,1,746,0.0746,0.15437072249152786,0.05203490844152166,0.2533574472501205
101,6,382,8,258,1,756,0.0756,0.15795736640107502,0.05412488614146797,0.2507530497611617
103,6,385,8,261,1,764,0.0764,0.15768684497386987,0.05380649597638837,0.25042970791693325
104,6,387,9,267,1,774,0.0774,0.15869368880364998,0.05374326478098279,0.25332264041786523
104,6,393,9,269,1,782,0.0782,0.1590314401774069,0.053415979517301114,0.2533054353291564
108,6,394,9,269,1,787,0.0787,0.15892249184233917,0.05303668599560401,0.24940752827329535
108,6,399,9,273,1,796,0.0796,0.15940848459716384,0.05248755518907855,0.2511594984330669
