Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels,Global Adoption Rate,Clustering Score,Moran's I,Between-Class Gini
0,0,0,0,0,0,0,0.0,0.0,,0.0
0,0,1,0,3,0,4,0.0004,0.0,-0.0002836436047050105,0.5686965274282838
0,0,2,0,9,0,11,0.0011,0.07575757575757575,-0.0007818472444228229,0.5979890633268655
0,0,2,0,9,1,12,0.0012,0.09027777777777778,-0.000851403947734223,0.6042134531066196
0,0,2,0,12,1,15,0.0015,0.07222222222222222,-0.0010601320820298927,0.6175642157480977
0,0,2,0,14,1,17,0.0017,0.06372549019607843,-0.001199332545366057,0.6236891489126836
0,0,3,0,17,1,21,0.0021,0.051587301587301584,-0.0014778496418387924,0.6137968495382945
0,0,3,0,20,1,24,0.0024,0.04513888888888889,-0.0016868391764051191,0.6208303900792717
0,0,4,0,26,1,31,0.0031,0.03494623655913978,-0.0021690212726471333,0.6192534859648055
0,0,5,0,29,1,35,0.0035,0.03095238095238095,-0.002448079823645435,0.6137968495382943
0,0,5,0,32,1,38,0.0038,0.02850877192982456,-0.002657475746182054,0.6182541656304402
0,0,7,0,35,1,43,0.0043,0.025193798449612403,-0.0030066634162197303,0.6057898498927806
0,0,10,0,38,1,49,0.0049,0.022108843537414963,-0.003431816598146471,0.5886595872570627
0,0,10,0,42,1,53,0.0053,0.020440251572327043,-0.003711577333240401,0.5951374854553247
0,0,11,0,44,1,56,0.0056,0.028273809523809524,-0.003915690648819481,0.5918916087579006
0,0,12,0,47,1,60,0.006,0.03154761904761905,-0.004195722919572292,0.5903866248693834
0,0,13,0,47,1,61,0.0061,0.031030444964871194,-0.004265755399028292,0.5848104541337819
0,0,15,0,48,1,64,0.0064,0.029575892857142856,-0.004475911458333332,0.5756016424970113
1,0,16,0,50,1,68,0.0068,0.02783613445378151,-0.0047562563959438085,0.5630557952949057
1,0,17,0,54,1,73,0.0073,0.02592954990215264,-0.005106907703403832,0.5649757733508073
1,0,19,0,58,1,79,0.0079,0.027898332328712076,-0.0055280124758513086,0.5624197296037066
1,0,20,0,61,1,83,0.0083,0.026553834385159687,-0.0058089450769481495,0.5627227521626897
2,0,20,0,63,1,86,0.0086,0.029503506829088224,-0.00017086324117007932,0.5571470602116609
3,0,20,0,64,1,88,0.0088,0.028832972582972582,-0.00044357775632230536,0.5504383274908883
4,0,21,0,67,1,93,0.0093,0.027282812766683734,-0.001094847172336873,0.5435458919264137
4,0,21,0,67,1,93,0.0093,0.027282812766683734,-0.001094847172336873,0.5435458919264137
4,0,25,0,69,1,99,0.0099,0.034892940953547016,0.01426102857820919,0.5332190602872928
4,0,28,0,70,1,103,0.0103,0.03816528670897603,0.018051459411789615,0.5252971779335035
4,0,31,0,73,1,109,0.0109,0.03606444523875717,0.01624806314018554,0.5210573935972244
6,0,34,0,77,1,118,0.0118,0.03670359772054688,0.01807784995850334,0.5064687071552606
6,0,36,0,77,1,120,0.012,0.03609187109187109,0.017501167133520082,0.5012163990991646
6,0,36,0,80,1,123,0.0123,0.03521158155304497,0.016662623549958958,0.5060508022895968
7,0,36,0,83,1,127,0.0127,0.03410255536239788,0.01559048314154452,0.5049464540803439
7,0,37,0,87,1,132,0.0132,0.03578698237789146,0.018140296998581266,0.5084326649588272
7,0,38,0,90,1,136,0.0136,0.034734424072659364,0.01706476196760251,0.5102882594353032
7,0,38,0,92,1,138,0.0138,0.03423102662233097,0.016541371720534354,0.5129794498666481
7,0,40,0,97,1,145,0.0145,0.03464745981987361,0.018275499219874463,0.5149279863472214
7,0,42,0,97,1,147,0.0147,0.03417606580871887,0.017750648986178338,0.5106107068524822
7,0,44,0,100,1,152,0.0152,0.03305185311764259,0.016482461065634342,0.5101424715938708
