Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment
0,3,0,0,0,0
0,3,0,0,0,0
0,0,0,7,0,0
0,0,0,11,0,0
0,4,0,0,0,0
0,1,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
0,2,0,0,0,0
0,1,0,0,0,0
0,2,0,0,0,0
0,2,0,0,0,0
666,0,0,0,0,0
652,0,0,0,0,0
651,0,0,0,0,0
658,0,0,0,0,0
0,0,1275,0,0,0
0,0,1230,0,0,0
0,0,1592,0,0,0
0,0,1606,0,0,0
0,0,2062,0,0,0
0,0,1986,0,0,0
0,0,1537,0,0,0
0,0,1564,0,0,0
0,0,0,14,0,0
0,0,0,16,0,0
0,0,1576,0,0,0
0,0,1647,0,0,0
0,0,1117,0,0,0
0,0,1043,0,0,0
655,0,0,0,0,0
654,0,0,0,0,0
0,0,724,0,0,0
0,0,726,0,0,0
0,0,1076,0,0,0
0,0,1066,0,0,0
0,0,1439,0,0,0
0,0,1444,0,0,0
0,0,1172,0,0,0
0,0,1031,0,0,0
0,0,0,10,0,0
0,0,0,9,0,0
0,0,0,1,0,0
0,0,0,7,0,0
0,11,0,0,0,0
0,7,0,0,0,0
0,2,0,0,0,0
0,5,0,0,0,0
0,3,0,0,0,0
0,1,0,0,0,0
0,4,0,0,0,0
0,4,0,0,0,0
593,0,0,0,0,0
550,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5197,0
0,0,0,0,5205,0
0,0,0,0,5076,0
0,0,0,0,5280,0
0,0,0,0,4813,0
0,0,0,0,4872,0
0,0,0,0,2712,0
0,0,0,0,2640,0
0,0,0,0,5209,0
0,0,0,0,5063,0
0,0,0,0,5072,0
0,0,0,0,5054,0
0,0,0,0,0,70
0,0,0,0,0,64
0,0,0,0,0,30
0,0,0,0,0,20
0,0,0,0,0,34
0,0,0,0,0,29
0,0,0,0,0,66
0,0,0,0,0,76
0,0,0,0,0,30
0,0,0,0,0,25
0,0,0,0,0,28
0,0,0,0,0,24
0,0,0,0,2440,0
0,0,0,0,2517,0
0,0,0,0,0,23
0,0,0,0,0,27
0,0,0,8,0,0
0,0,0,14,0,0
0,0,0,10,0,0
0,0,0,9,0,0
0,0,0,10,0,0
0,0,0,9,0,0
0,0,0,28,0,0
0,0,0,30,0,0
0,0,0,10,0,0
0,0,0,9,0,0
0,0,0,10,0,0
0,0,0,13,0,0
0,0,1238,0,0,0
0,0,1295,0,0,0
0,0,2558,0,0,0
0,0,2537,0,0,0
0,0,2715,0,0,0
0,0,2689,0,0,0
0,0,1156,0,0,0
0,0,1232,0,0,0
0,0,2528,0,0,0
0,0,2607,0,0,0
0,0,2547,0,0,0
0,0,2518,0,0,0
0,0,0,23,0,0
0,0,0,27,0,0
0,0,2531,0,0,0
0,0,2493,0,0,0
0,0,0,3,0,0
0,0,0,5,0,0
0,0,0,0,0,8
0,0,0,0,0,15
0,0,0,8,0,0
0,0,0,6,0,0
0,0,0,8,0,0
0,0,0,9,0,0
0,0,0,0,0,0
0,0,0,4,0,0
0,0,0,6,0,0
0,0,0,5,0,0
0,0,735,0,0,0
0,0,678,0,0,0
0,0,1546,0,0,0
0,0,1478,0,0,0
0,0,0,0,2387,0
0,0,0,0,2472,0
0,0,0,0,1817,0
0,0,0,0,1776,0
0,0,0,0,2528,0
0,0,0,0,2688,0
0,0,0,0,2502,0
0,0,0,0,2618,0
0,0,0,0,0,22
0,0,0,0,0,20
0,0,0,0,2624,0
0,0,0,0,2609,0
0,0,0,0,5301,0
0,0,0,0,5392,0
