beta1,beta2,beta3,beta4,beta5,beta6,beta7,Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0.01171875,0.33203125,0.29296875,0.19140625,0.90234375,0.67578125,0.86328125,288.0,105.0,624.0,46.0,593.0,11.0,9935.0
0.24609375,0.33203125,0.29296875,0.19140625,0.90234375,0.67578125,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.10546875,0.29296875,0.19140625,0.90234375,0.67578125,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.33203125,0.81640625,0.19140625,0.90234375,0.67578125,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.33203125,0.29296875,0.73828125,0.90234375,0.67578125,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.33203125,0.29296875,0.19140625,0.73828125,0.67578125,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.33203125,0.29296875,0.19140625,0.90234375,0.81640625,0.86328125,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.33203125,0.29296875,0.19140625,0.90234375,0.67578125,0.87890625,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.01171875,0.10546875,0.81640625,0.73828125,0.73828125,0.81640625,0.87890625,291.0,111.0,608.0,54.0,610.0,25.0,9968.0
0.24609375,0.33203125,0.81640625,0.73828125,0.73828125,0.81640625,0.87890625,265.0,125.0,621.0,40.0,569.0,17.0,9961.0
0.24609375,0.10546875,0.29296875,0.73828125,0.73828125,0.81640625,0.87890625,300.0,69.0,568.0,26.0,509.0,3.0,9820.0
0.24609375,0.10546875,0.81640625,0.19140625,0.73828125,0.81640625,0.87890625,294.0,130.0,579.0,70.0,629.0,28.0,9992.0
0.24609375,0.10546875,0.81640625,0.73828125,0.90234375,0.81640625,0.87890625,278.0,112.0,604.0,47.0,565.0,20.0,9973.0
0.24609375,0.10546875,0.81640625,0.73828125,0.73828125,0.67578125,0.87890625,307.0,105.0,593.0,45.0,599.0,15.0,9941.0
0.24609375,0.10546875,0.81640625,0.73828125,0.73828125,0.81640625,0.86328125,266.0,102.0,582.0,49.0,602.0,11.0,9958.0
0.24609375,0.10546875,0.81640625,0.73828125,0.73828125,0.81640625,0.87890625,272.0,131.0,597.0,40.0,600.0,20.0,9954.0
0.51171875,0.83203125,0.79296875,0.69140625,0.40234375,0.17578125,0.36328125,255.0,106.0,623.0,70.0,593.0,29.0,9994.0
0.74609375,0.83203125,0.79296875,0.69140625,0.40234375,0.17578125,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.60546875,0.79296875,0.69140625,0.40234375,0.17578125,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.83203125,0.31640625,0.69140625,0.40234375,0.17578125,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.83203125,0.79296875,0.23828125,0.40234375,0.17578125,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.83203125,0.79296875,0.69140625,0.23828125,0.17578125,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.83203125,0.79296875,0.69140625,0.40234375,0.31640625,0.36328125,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.83203125,0.79296875,0.69140625,0.40234375,0.17578125,0.37890625,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.51171875,0.60546875,0.31640625,0.23828125,0.23828125,0.31640625,0.37890625,278.0,108.0,542.0,89.0,592.0,22.0,9995.0
0.74609375,0.83203125,0.31640625,0.23828125,0.23828125,0.31640625,0.37890625,304.0,145.0,610.0,67.0,576.0,27.0,9990.0
0.74609375,0.60546875,0.79296875,0.23828125,0.23828125,0.31640625,0.37890625,266.0,140.0,608.0,79.0,603.0,20.0,9999.0
0.74609375,0.60546875,0.31640625,0.69140625,0.23828125,0.31640625,0.37890625,267.0,94.0,531.0,64.0,527.0,16.0,9922.0
0.74609375,0.60546875,0.31640625,0.23828125,0.40234375,0.31640625,0.37890625,263.0,107.0,633.0,70.0,597.0,21.0,9999.0
0.74609375,0.60546875,0.31640625,0.23828125,0.23828125,0.17578125,0.37890625,289.0,131.0,607.0,63.0,640.0,25.0,9970.0
