Low Income Solar House,Low Income Solar Apartment,Mid Income Solar House,Mid Income Solar Apartment,High Income Solar House,High Income Solar Apartment,Total Solar Panels
0,0,0,0,0,0,0
2,0,14,0,35,0,51
6,0,35,0,64,0,105
10,0,49,0,91,1,151
11,0,62,0,120,1,194
12,0,81,0,148,1,242
14,0,95,0,171,1,281
19,0,109,1,199,1,329
23,0,131,1,235,1,391
27,1,145,1,263,1,438
28,1,157,3,285,1,475
29,1,171,5,300,1,507
32,1,182,5,325,1,546
34,1,208,6,344,1,594
39,1,224,7,369,1,641
41,1,237,7,397,1,684
45,1,249,7,423,1,726
47,1,265,7,449,1,770
50,1,276,7,476,1,811
51,1,292,7,507,1,859
53,1,306,7,533,1,901
56,2,318,7,553,1,937
58,3,337,7,573,1,979
59,4,349,7,599,1,1019
63,4,361,7,618,1,1054
65,4,372,7,639,1,1088
67,4,387,7,661,1,1127
69,4,396,7,682,1,1159
70,4,415,7,696,1,1193
72,5,428,7,709,1,1222
73,5,438,7,729,1,1253
76,5,458,7,735,2,1283
76,5,470,7,751,2,1311
80,5,475,7,769,2,1338
82,5,488,7,797,2,1381
84,5,500,7,814,2,1412
85,5,517,9,835,2,1453
89,5,528,9,853,2,1486
90,5,545,9,870,2,1521
92,5,562,9,889,3,1560
92,5,572,9,906,3,1587
95,6,589,9,917,3,1619
95,6,603,10,926,3,1643
95,6,612,10,935,3,1661
97,6,627,11,947,4,1692
97,6,641,13,957,4,1718
98,6,657,14,968,4,1747
98,6,666,15,989,4,1778
101,6,683,16,999,5,1810
104,6,693,16,1017,5,1841
108,7,703,16,1029,5,1868
112,7,712,16,1045,6,1898
114,7,720,17,1059,6,1923
114,8,736,17,1073,6,1954
115,8,746,17,1084,6,1976
120,9,756,17,1094,6,2002
123,9,766,17,1106,6,2027
126,9,782,18,1116,7,2058
127,9,794,18,1126,7,2081
128,9,802,18,1132,8,2097
131,10,812,18,1144,8,2123
135,11,823,18,1159,8,2154
137,11,835,18,1177,9,2187
139,11,840,19,1195,9,2213
143,11,857,20,1208,9,2248
146,12,867,21,1216,10,2272
149,12,873,21,1223,10,2288
153,12,883,21,1236,11,2316
153,14,895,21,1241,12,2336
155,16,908,21,1253,12,2365
155,16,920,22,1261,12,2386
157,16,935,22,1269,12,2411
157,16,944,23,1280,12,2432
158,16,954,23,1289,12,2452
160,17,962,24,1297,13,2473
162,18,973,24,1313,13,2503
167,18,984,26,1323,13,2531
169,18,1000,27,1331,13,2558
171,18,1010,27,1340,13,2579
172,19,1016,29,1345,13,2594
172,19,1024,29,1356,14,2614
173,20,1030,29,1361,14,2627
177,21,1036,32,1374,14,2654
179,21,1044,33,1384,14,2675
182,21,1049,33,1390,14,2689
183,21,1057,33,1400,14,2708
186,21,1065,33,1406,15,2726
188,21,1074,33,1412,15,2743
189,21,1081,33,1417,16,2757
193,21,1086,33,1424,16,2773
196,21,1096,33,1428,16,2790
198,21,1103,33,1434,16,2805
200,21,1108,33,1440,17,2819
204,22,1120,33,1445,18,2842
204,23,1128,35,1450,18,2858
208,23,1138,35,1456,18,2878
210,24,1144,35,1463,19,2895
213,24,1155,35,1467,20,2914
215,24,1164,35,1474,20,2932
216,25,1173,35,1482,20,2951
217,25,1176,35,1486,21,2960
220,26,1186,35,1489,22,2978
221,26,1192,36,1492,22,2989
223,26,1203,36,1499,22,3009
223,26,1209,36,1504,22,3020
225,26,1215,36,1509,22,3033
226,26,1222,36,1512,22,3044
229,26,1224,38,1517,23,3057
233,26,1236,38,1524,23,3080
236,26,1243,39,1529,24,3097
239,26,1249,39,1534,24,3111
240,26,1257,39,1538,24,3124
242,26,1267,39,1542,24,3140
245,26,1273,39,1545,24,3152
247,26,1283,39,1548,24,3167
248,27,1290,39,1551,24,3179
251,27,1291,39,1557,24,3189
253,27,1296,39,1560,24,3199
255,27,1304,39,1561,24,3210
258,27,1311,40,1567,24,3227
259,27,1321,41,1567,25,3240
260,27,1329,41,1569,25,3251
262,28,1336,41,1575,25,3267
266,28,1344,43,1577,25,3283
268,28,1350,43,1581,26,3296
270,28,1358,43,1582,26,3307
273,29,1364,44,1583,26,3319
273,29,1374,45,1588,27,3336
274,29,1379,45,1589,27,3343
275,29,1387,45,1592,27,3355
277,29,1391,46,1592,27,3362
280,29,1394,46,1596,27,3372
281,29,1400,46,1601,29,3386
286,29,1403,46,1601,30,3395
287,29,1410,46,1603,30,3405
292,29,1415,46,1604,30,3416
292,29,1420,46,1605,30,3422
293,29,1426,46,1607,30,3431
293,30,1433,46,1609,31,3442
294,30,1441,47,1616,32,3460
298,30,1444,47,1617,32,3468
302,31,1452,47,1622,34,3488
302,31,1457,47,1624,34,3495
303,31,1465,47,1626,35,3507
305,31,1471,48,1627,35,3517
305,31,1475,48,1631,35,3525
307,31,1480,48,1631,35,3532
309,31,1489,48,1634,35,3546
312,31,1490,48,1638,36,3555
312,31,1492,48,1638,37,3558
312,31,1494,49,1640,37,3563
312,31,1499,50,1643,37,3572
316,31,1502,50,1644,37,3580
318,31,1505,50,1646,37,3587
320,31,1510,50,1647,37,3595
322,31,1517,50,1648,37,3605
323,31,1521,50,1650,37,3612
324,32,1530,51,1650,37,3624
324,32,1537,52,1651,37,3633
324,32,1541,53,1653,37,3640
326,33,1544,54,1654,40,3651
327,33,1550,56,1657,40,3663
329,33,1557,58,1660,41,3678
329,33,1560,59,1663,42,3686
329,33,1563,60,1664,42,3691
331,33,1571,60,1664,42,3701
332,33,1575,62,1668,42,3712
335,33,1581,63,1668,42,3722
338,33,1586,64,1670,43,3734
343,33,1589,65,1672,43,3745
345,33,1594,65,1674,44,3755
346,33,1598,65,1675,44,3761
346,33,1600,66,1678,44,3767
348,33,1605,66,1679,45,3776
349,34,1608,66,1680,45,3782
350,34,1609,66,1681,45,3785
352,34,1611,66,1683,45,3791
352,35,1616,67,1683,46,3799
354,36,1619,68,1683,47,3807
355,36,1623,68,1684,48,3814
357,36,1625,68,1684,50,3820
357,36,1628,69,1685,50,3825
358,36,1632,69,1685,50,3830
359,36,1635,70,1685,51,3836
361,36,1642,70,1687,51,3847
362,36,1645,71,1688,51,3853
362,36,1647,71,1688,51,3855
364,36,1649,72,1688,51,3860
364,36,1652,72,1689,51,3864
365,36,1657,73,1689,51,3871
366,36,1660,73,1692,51,3878
366,36,1663,74,1693,51,3883
368,36,1667,76,1695,51,3893
369,36,1670,76,1697,51,3899
370,36,1672,77,1697,52,3904
371,36,1674,77,1697,52,3907
371,36,1677,77,1697,52,3910
373,37,1678,78,1698,52,3916
374,37,1683,78,1698,53,3923
